Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$715.00,$599.00,$99.00,46
"Amazon Echo Dot Asistente de Voz 5ta Generación, Inalámbrico, WiFi, Bluetooth, Azul",B0BF6WVJ63,$998.00,$839.00,$99.00,388
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,163.00","$1,929.00",$99.00,215
"Tóner Brother TN-620 Negro, 3000 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN620,"$2,094.00","$1,319.00",Envío gratis,2
"Laptop Lenovo ThinkBook 14s G2 ITL 14"" Full HD, Intel Core i5-1135G7 2.40GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",20VA0031LM,"$21,044.00","$15,369.00",$99.00,¡1
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,957.00","$2,579.00",$99.00,584
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,513.00","$1,149.00",$99.00,9
"Tóner Brother TN-360 Negro, 2600 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN-360,"$1,789.00","$1,149.00",Envío gratis,5
"Servidor HPE ProLiant DL380 Gen10 Plus, Intel Xeon Silver 4310 2.10GHz, 32GB DDR4, max. 8TB, 2.5”, NVMe/SAS/SATA, Rack (2U)  - no Sistema Operativo Instalado",P55246-B21,"$134,833.00","$69,339.00",$269.00,3
"Mouse Gamer Ergonómico Logitech Óptico G502 Hero RGB, Alámbrico, USB, 16.000DPI, Negro",910-005550,"$1,093.00",$909.00,$99.00,2
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3060-O8G,"$5,904.00","$4,829.00",$99.00,12
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$605.00,$456.00,$99.00,363
"SSD Samsung 970 EVO Plus NVMe, 500GB, M.2, PCI Express 3.0",MZ-V7S500B/AM,$854.00,$719.00,$99.00,4
"Gabinete Gamer ASUS TUF Gaming GT501 con Ventana RGB, Midi Tower, ATX/EATX/micro ATX/Mini-ITX, USB 3.1, sin Fuente, Blanco",90DC0013-B40000,"$3,776.00","$3,089.00",$179.00,6
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,940.00","$2,589.00",$99.00,3
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,213.00","$2,509.00",$144.00,9
"SSD XPG GAMMIX S70 BLADE NVMe, 4TB, PCI Express 4.0, M.2",AGAMMIXS70B-4T-CS,"$5,285.00","$4,159.00",$99.00,18
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,187.00","$3,629.00",$99.00,3
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,703.00","$1,399.00",$99.00,364
"Tarjeta Madre AORUS ATX B650 AORUS ELITE AX, S-AM5, AMD B650, HDMI, 128GB DDR5 para AMD",B650 AORUS ELITE AX,"$5,826.00","$4,749.00",$99.00,2
"LinkedPRO Módulo Transceptor LP-SFP-10G-SM-3 SFP+, LC, 10000 Mbits/s, 3km, 1310nm, 2 Piezas",LP-SFP-10G-SM-3,$912.00,$589.00,$99.00,381
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,308.00","$1,169.00",$99.00,15
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,366.00","$1,179.00",$99.00,410
"Amazon Echo Dot Asistente de Voz 5ta Generación, Inalámbrico, WiFi, Bluetooth, Blanco",B09B94RL1R,"$1,027.00",$839.00,$99.00,424
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Verde",CA-9011197-NA,$757.00,$569.00,$99.00,¡1
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,151.00",$919.00,$99.00,6
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,992.00","$3,059.00",$319.00,2
"Regulador Koblenz 00-1588-3, 1000W, 2250VA, Entrada 95-145V, Salida 108-132V, 8 Contactos",00-1588-3,$890.00,$729.00,$99.00,13
"SSD Western Digital WD_Black SN770 NVMe, 2TB, PCI Express 4.0, M.2",WDS200T3X0E,"$4,017.00","$2,029.00",$99.00,19
